"CourseID","Subject","Catalog","LongTitle","ClassUnits","ComponentCode","ComponentDescr","PreRequisiteDescription","Career","EquivalentCourses"
"047855","ACTT","299","Special Topics in Acting","6.00","STU","Studio","","UGRD",""
"047856","ACTT","331","Scene Study II","3.00","STU","Studio","Prerequisite ACTT 331","UGRD","TPER 311 = ACTT 331"
"047857","ACTT","360","Ensemble II","3.00","LAB","Laboratory","Prerequisite for ACTT 360","UGRD","TPER 325 = ACTT 360"
"047857","ACTT","360","Ensemble II","3.00","STU","Studio","Prerequisite for ACTT 360","UGRD","TPER 325 = ACTT 360"
"047858","ACTT","321","Movement for the Stage II","3.00","STU","Studio","Prerequisite: The following course must be completed previously: ACTT 211. If prerequisites ae not satisfied, permission of the Program Coordinator is required","UGRD","TPER 331 = ACTT 321"
"047859","ACTT","435","CREATION PROJECT","3.00","LAB","Laboratory","","UGRD","TPER 333= ACTT 435"
"047859","ACTT","435","CREATION PROJECT","3.00","STU","Studio","","UGRD","TPER 333= ACTT 435"
"047860","ACTT","325","Voice for the Stage II","3.00","STU","Studio","Prerequisite for ACTT 325","UGRD","TPER 345 = ACTT 325"
"047861","ACTT","355","Voice for the Stage III","3.00","STU","Studio","Prerequisite ACTT 355","UGRD","TPER 355 = ACTT 355"
"047862","ACTT","398","Special Topics in Acting","3.00","LAB","Laboratory","","UGRD",""
"047862","ACTT","398","Special Topics in Acting","3.00","STU","Studio","","UGRD",""
"047863","ACTT","399","Special Topics in Acting","6.00","STU","Studio","","UGRD",""
"047864","ACTT","358","Movement for the Stage III","3.00","LAB","Laboratory","Prerequisite: ACTT 321","UGRD","TPER 431 = ACTT 358"
"047864","ACTT","358","Movement for the Stage III","3.00","STU","Studio","Prerequisite: ACTT 321","UGRD","TPER 431 = ACTT 358"
"047865","ACTT","498","Special Topics in Acting","3.00","LAB","Laboratory","","UGRD",""
"047865","ACTT","498","Special Topics in Acting","3.00","STU","Studio","","UGRD",""
"047866","ACTT","499","Special Topics in Acting","6.00","STU","Studio","","GRAD",""
"048916","ACTT","370","Clown for the Actor","3.00","STU","Studio","PREREQUISITE: The following courses must be completed previously: ACTT 321 and 325. If prerequisites are not satisfied, permission of the Program Coordinator is required.","UGRD",""
"048917","ACTT","372","Stage Combat","3.00","STU","Studio","for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 321.","UGRD",""
"048922","ACTT","455","Voice for the Stage IV","3.00","LAB","Laboratory","for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 355 or permission of the Department of Theatre","UGRD",""
"048922","ACTT","455","Voice for the Stage IV","3.00","STU","Studio","for students enrolled in the Specialization in Acting for the Theatre and who have completed ACTT 355 or permission of the Department of Theatre","UGRD",""
"048923","ACTT","458","Movement for the Stage IV","3.00","STU","Studio","Course Prerequisite: ACTT 321","UGRD","ACTT 458 = TPER 431"
"050411","ACTT","362","LABAN FOR THE ACTOR","3.00","STU","Studio","PREREQUISITE: The following courses must be completed previously: ACTT 321 and 325. If prerequisites are not satisfied, permission of the Program Coordinator is required.","UGRD",""
"000235","ACTU","256","Mathematics of Finance","3.00","LEC","Lecture","Prerequisite: MATH264 previously or concurrently, and permission of the Department.","UGRD","MAST335 = MATH326 = ACTU256"
"000236","ACTU","257","Actuarial Mathematics I","3.00","LEC","Lecture","Prerequisite: ACTU256.","UGRD","ACTU 257 = MATH 327"
"000237","ACTU","286","Actuarial Mathematics Lab I","1.00","LEC","Lecture","","UGRD","ACTU 286 = MATH 229"
"000237","ACTU","286","Actuarial Mathematics Lab I","1.00","REA","Reading","","UGRD","ACTU 286 = MATH 229"
"000238","ACTU","357","Actuarial Mathematics II","3.00","LEC","Lecture","Prerequisite: ACTU257.","UGRD","ACTU 357 = MATH 427"
"000239","ACTU","386","Actuarial Mathematics Lab II","2.00","LEC","Lecture","","UGRD","ACTU386 = MATH232"
"000239","ACTU","386","Actuarial Mathematics Lab II","2.00","LEC","Lecture","","UGRD",""
"000241","ACTU","457","Risk Theory","3.00","LEC","Lecture","Prerequisite: ACTU257.","UGRD","ACTU 457 = MATH 428"
"000242","ACTU","458","Credibility Theory","3.00","LEC","Lecture","ACTU457; STAT349 previously or concurrently.","UGRD",""
"000243","ACTU","459","Loss Distributions","3.00","LEC","Lecture","Prerequisite: ACTU457 and STAT360","UGRD",""
"000244","ACTU","486","Actuarial Mathematics Lab III","2.00","LEC","Lecture","","UGRD","ACTU 486 = MATH 429"
"000245","ACTU","493","Honours Project in Actuarial Mathematics","6.00","LEC","Lecture","","UGRD",""
"046445","ACTU","491","TOPICS/ACTUARIAL MATHEMATICS","3.00","LEC","Lecture","","UGRD",""
"046446","ACTU","492","RDG CRS/ACTUARIAL MATHEMAT S","3.00","LEC","Lecture","","UGRD",""
"000246","ADED","201","Concepts and Principles of Adult Education","3.00","LEC","Lecture","Student must not have taken the following course: ADED496","UGRD",""
"000247","ADED","202","The Scope and Nature of Adult Education Programs","3.00","LEC","Lecture","Student must not have taken the following course: ADED496","UGRD",""
"000248","ADED","220","Adults as Learners","3.00","LEC","Lecture","","UGRD",""
"000251","ADED","302","Group Dynamics","3.00","LEC","Lecture","","UGRD",""
"000253","ADED","344","Design of Adult Learning Projects","3.00","LEC","Lecture","","UGRD",""
"000254","ADED","345","Evaluating Adult Learning Projects","3.00","LEC","Lecture","","UGRD",""
"000257","ADED","403","Diversity in Adults","3.00","LEC","Lecture","","UGRD","ADED403 = ADED498F"
"000257","ADED","403","Diversity in Adults","3.00","LEC","Lecture","","UGRD",""
"000258","ADED","410","Adult Education in Canada and Quebec","3.00","LEC","Lecture","","UGRD",""
"000260","ADED","440","ISSUES IN THE PRACTICE","3.00","LEC","Lecture","","UGRD",""
"000273","ADED","496","Integrative Internship I","3.00","LEC","Lecture","Prerequisite: ADED201, ADED202 and 15 credits in the program.","UGRD",""
"000274","ADED","497","Integrative Internship II","3.00","LEC","Lecture","   Course Prerequisite: ADED496; Never Taken/Not Registered: ADED495","UGRD",""
"000277","ADED","498C","ADVANCED TOPICS IN ADULT EDUCATION","3.00","LEC","Lecture","","UGRD",""
"046447","ADED","489","SPEC TOPICS  IN ADULT EDUC","3.00","LEC","Lecture","","UGRD",""
"046448","ADED","492","SPECIAL TOPICS SEM IN ADED I","3.00","LEC","Lecture","","UGRD",""
"046449","ADED","494","SPECIAL TOPIC SEM IN ADED II","3.00","LEC","Lecture","","UGRD",""
"046450","ADED","498","ADVANCED TOPICS IN ADED","3.00","LEC","Lecture","","UGRD",""
"000316","ADIP","500","ADED-QUEBEC AS A FIELD STUDY","3.00","LEC","Lecture","","GRAD",""
"000317","ADIP","501","PHIL ISSUES IN EDUC RESEARCH","3.00","LEC","Lecture","","GRAD",""
"000318","ADIP","511","EDUC.PROB/PHILOSOPH.PERSPECT","3.00","LEC","Lecture","","GRAD",""
"000319","ADIP","512","EDUC.PROB./HIST.PERSPECTIVE","3.00","LEC","Lecture","","GRAD",""
"000320","ADIP","513","ANTH CONCEPTS & METHODS-EDUC","3.00","LEC","Lecture","","GRAD",""
"000323","ADIP","520","ADULTS AS LEARNERS","3.00","LEC","Lecture","","GRAD",""
"000325","ADIP","533","FACILITATING ADULT LEARNING","3.00","LEC","Lecture","","GRAD",""
"000326","ADIP","540","INTRODUCTION TO RESEARCH","3.00","LEC","Lecture","","GRAD",""
"000327","ADIP","541","DESIGNING ADULT LRN.PROJECTS","3.00","LEC","Lecture","","GRAD",""
"000328","ADIP","542","EVAL ADULT LEARNING PROJECTS","3.00","LEC","Lecture","","GRAD",""
"000329","ADIP","544","SCHOOL AND SOCIETY","3.00","LEC","Lecture","","GRAD",""
"000333","ADIP","572","CONCEPTS & VALUES IN ADED","3.00","LEC","Lecture","","GRAD",""
"000334","ADIP","580","READING COURSE","3.00","REA","Reading","","GRAD",""
"000335","ADIP","581","READING COURSE","3.00","REA","Reading","","GRAD",""
"000337","ADIP","590","ISSUES IN THE PRACTICE","3.00","LEC","Lecture","","GRAD",""
"000345","ADIP","598","SPECIAL TOPICS IN ADED II","3.00","LEC","Lecture","","GRAD",""
"037543","ADIP","597","ADULT EDUCATION I-SELECTED TOPICS","3.00","LEC","Lecture","","GRAD",""
"040012","ADIP","510","ADULT EDUC IN QUE. & CANADA","3.00","LEC","Lecture","","GRAD",""
"040013","ADIP","535","STUDIES/EDUCATIONAL CHANGE","3.00","LEC","Lecture","","GRAD",""
"040014","ADIP","585","Integrative Internship I","3.00","LEC","Lecture","Prerequisite: 15 credits in program of study, including ADIP 500.","GRAD",""
"040015","ADIP","586","Integrative Internship II","3.00","LEC","Lecture","Prerequisite: ADIP585","GRAD",""
"046451","ADIP","589","ADVANCED TOPICS IN ADED","3.00","LEC","Lecture","","GRAD",""
"000360","ADMI","201","Introduction to Administration (Administered by the Finance Department)","3.00","LEC","Lecture","","UGRD",""
"000361","ADMI","202","Perspective on Canadian Business (Administered by the Finance Department)","3.00","LEC","Lecture","   Never Taken/Not Registered: MANA369","UGRD",""
"000384","ADMI","543","SPECIAL TOPICS-INSTIT ADMIN","3.00","LEC","Lecture","","GRAD",""
"000409","ADMI","810","ORGANIZATIONAL BEHAVIOUR","3.00","LEC","Lecture","","GRAD",""
"000428","ADMI","811","ORGANIZATIONAL BEHAVIOUR","3.00","LEC","Lecture","","GRAD",""
"000448","ADMI","820","DESC & M.I.S.","3.00","LEC","Lecture","","GRAD",""
"000505","ADMI","830","MARKETING","3.00","LEC","Lecture","","GRAD",""
"000522","ADMI","831","MARKETING","3.00","LEC","Lecture","","GRAD",""
"000537","ADMI","831R","MARKETING MEAN'G/MANAGEMNT/BRANDS","3.00","SEM","Seminar","","GRAD",""
"000547","ADMI","840","CORPORATE FINANCE","3.00","SEM","Seminar","","GRAD",""
"000586","ADMI","850","BUSINESS POLICY & STRATEGY","3.00","LEC","Lecture","","GRAD",""
"000605","ADMI","851","BUSINESS POLICY & STRATEGY","3.00","LEC","Lecture","","GRAD",""
"000627","ADMI","852","DEBATING STRATEGIC MANAGEMENT","3.00","SEM","Seminar","","GRAD",""
"000649","ADMI","853","BUSINESS POLICY AND STRATEGY","3.00","LEC","Lecture","","GRAD",""
"000650","ADMI","860","FINANCIAL REPORTING AND DISCLOSURE","3.00","SEM","Seminar","","GRAD",""
"000676","ADMI","870","RESEARCH METHODS IN MANAGEMENT: CORE AND ADVANCED ISSUES IN QUANTITATIVE STUDIES","3.00","SEM","Seminar","","GRAD",""
"000677","ADMI","880","PEDAGOGICAL METHODS","3.00","SEM","Seminar","","GRAD",""
"000679","ADMI","889","COMPREHENSIVE EXAMINATIONS","6.00","LEC","Lecture","","GRAD",""
"000680","ADMI","890","THESIS","60.00","LEC","Lecture","","GRAD",""
"046452","ADMI","800","BUSINESS ECONOMICS","3.00","LEC","Lecture","","GRAD",""
"046453","ADMI","821","ARTIFICIAL INTELLIGENCE FOR BUSINESS: METHODS AND APPLICATIONS","3.00","SEM","Seminar","","GRAD",""
"046454","ADMI","822","DESC & M.I.S.","3.00","LEC","Lecture","","GRAD",""
"046455","ADMI","832","MARKETING","3.00","LEC","Lecture","","GRAD",""
"046456","ADMI","841","FINANCE","3.00","LEC","Lecture","","GRAD",""
"046457","ADMI","861","RESEARCH IN AUDITING","3.00","SEM","Seminar","","GRAD",""
"048415","ADMI","855","BUSINESS POLICY/STRATEGY","3.00","LEC","Lecture","","GRAD",""
"048416","ADMI","856","BUSINESS POLICY/STRATEGY","3.00","LEC","Lecture","","GRAD",""
"048417","ADMI","812","ORGANIZATIONAL BEHAVIOUR","3.00","LEC","Lecture","","GRAD",""
"048418","ADMI","813","ORGANIZATIONAL BEHAVIOUR","3.00","LEC","Lecture","","GRAD",""
"048419","ADMI","815","ORGANIZATIONAL BEHAVIOUR","3.00","LEC","Lecture","","GRAD",""
"048909","ADMI","814","ORGANIZATIONAL BEHAVIOUR","3.00","LEC","Lecture","","GRAD",""
"048910","ADMI","812","FOUNDATIONS AND CURRENT TOPICS IN ORGANIZATIONAL BEHAVIOUR","3.00","SEM","Seminar","","GRAD",""
"048911","ADMI","858","BUSINESS POLICY AND STRATEGY","3.00","LEC","Lecture","","GRAD",""
"050138","ADMI","833","READING COURSE","3.00","REA","Reading","","GRAD",""
"050596","ADMI","8201","DIGITAL INNOVATIONS: CONCEPTUALIZATION AND IMPACTS","3.00","SEM","Seminar","","GRAD",""
"050597","ADMI","8202","EMERGING TECHNOLOGIES AND SUPPLY CHAIN MANAGEMENT","3.00","SEM","Seminar","","GRAD",""
"050598","ADMI","8203","SPECIAL TOPICS IN SUPPLY CHAIN MANAGEMENT, BUSINESS TECHNOLOGY MANAGEMENT, AND BUSINESS ANALYTICS","3.00","SEM","Seminar","","GRAD",""
"050599","ADMI","8301","MANAGERIAL MARKETING: ISSUES AND IMPACTS","3.00","SEM","Seminar","","GRAD",""
"050604","ADMI","8302","FUNDAMENTALS OF BEHAVIOURAL MARKETING","3.00","SEM","Seminar","","GRAD",""
"050605","ADMI","8303","RESEARCH METHODS IN MARKETING: SURVEY AND EXPERIMENTAL APPROACHES","3.00","SEM","Seminar","","GRAD",""
"050606","ADMI","8304","RESEARCH METHODS IN MARKETING: QUALITATIVE AND QUANTITATIVE APPROACHES","3.00","SEM","Seminar","","GRAD",""
"050607","ADMI","8401","DERIVATIVES PRICING","3.00","SEM","Seminar","","GRAD",""
"050608","ADMI","8402","ASSET PRICING AND INVESTMENTS","3.00","SEM","Seminar","","GRAD",""
"050609","ADMI","8403","RESEARCH METHODOLOGY IN FINANCE AND ACCOUNTING","3.00","SEM","Seminar","","GRAD",""
"050610","ADMI","8501","RESEARCH METHODS IN MANAGEMENT: APPLYING QUALITATIVE AND QUANTITATIVE RESEARCH METHODS","3.00","SEM","Seminar","","GRAD",""
"050611","ADMI","8502","ADVANCED TOPICS IN MANAGEMENT","3.00","SEM","Seminar","","GRAD",""
